ID,ISBN,Автор,Авторы,В базе,В закладки,Возраст,Год,Издательство,Код,Название,Не понравилось,Обложка,Описание,Переводчик,Переплёт,Понравилось,Производитель,Размеры,Рейтинг,Серия,Страниц,Тематика,Тираж,Формат,Цена
2648403,978-5-699-65574-8,Роллинс Джеймс ,,Э.Роллинс(м).Дьявольская колония,3,16+,2018,Эксмо,970984,Дьявольская колония,1,/files/1836/23/24/31/1.jpg,"Проникнув в погребальное святилище, спрятанное в пещере в глуши Скалистых гор, двое молодых людей нарушают древнее заклятие, и это приводит к началу цепи катастрофических событий, угрожающих самому существованию человечества. В этой пещере, рядом с останками странных белокожих индейцев, хранится множество золотых пластин с надписями на неизвестном языке, а также священный тотем этого народа — череп саблезубого тигра. Внутри он заполнен непонятным веществом, которое, оказавшись на свободе, мгновенно начинает поглощать окружающую материю, превращая ее в прах, причем этот процесс невозможно остановить. К решению этой проблемы, смертельно опасной для всего живого на Земле, подключается спецотряд «Сигма».",,мягкий,30,,"12,00 см x 16,50 см x 2,90 см",96.77,Весь Роллинс (обложка),704,Зарубежная,6000,164.00mm x 112.00mm x 28.00mm,
2648424,978-5-699-63691-4,Донцова Дарья Аркадьевна,,Э.ИД.Укротитель Медузы горгоны,2,16+,2013,Эксмо,971793,Укротитель Медузы горгоны: роман,5,/files/1836/23/24/40/0.jpg,"Зачем только Роман Звягин, владелец косметического концерна ""Бак"", согласился стать спонсором захудалого театра? Теперь визажисту Стеланиде Козловой приходится гримировать местных актрис и превращать престарелую приму в юную Джульетту! А во время спектакля случилось нечто по-настоящему ужасное - кто-то поджег микроавтобус, где хранились костюмы! В огне погибла Фаина - уборщица, мечтавшая блистать на сцене. Зто явно сделал кто-то из своих! Следователь Якименко попросил Степу внедрить в театральное закулисье его помощника Мишу - чтобы он разобрался, кто из обитателей храма искусства страдает пироманией. Степаше придется представить Мишу... своим бойфрендом и по совместительству коллегой-визажистом! Но как выдать за гуру мира моды простака-полицейского, щеголяющего в черных сандалиях и белых носках?",,твердый,12,,"12,00 см x 19,50 см x 2,00 см",70.59,Иронический детектив,352,Отечественные,250000,196.00mm x 120.00mm x 21.00mm,
2649982,978-5-699-65658-5,Донцова Дарья Аркадьевна,,Э.ИД(м).Княжна с тараканами,3,16+,2013,Эксмо,973575,Княжна с тараканами : роман,4,/files/1836/23/25/88/1.jpg,"После замужества любимой бабули модель по макияжу Степанида Козлова тоже стала членом семьи Барашковых, и они просто достали ее своей опекой! Подружилась Степа лишь с Надей Барашковой и даже решила проложить для этой красотки тропинку в мир высокой моды. Случайно ответив на звонок Надиного мобильного, Степаша с удивлением узнала -мать девушки Алена, якобы давно погибшая в автокатастрофе, вовсе не отправилась в мир иной, а находилась в местах не столь отдаленных. По словам ее товарки по заключению, Алену подставили - накачали наркотиками и посадили в авто, под колесами которого погиб человек... Хрупкой и трепетной Наде ничего говорить нельзя! Значит, придется Степе разбираться в этом самой. И первым делом необходимо узнать, как ночью в ноябре Алена оказалась на улице в одном шелковом платье и... чужих ярко-розовых ""шпильках"" со стразами!",,мягкий,14,,"10,75 см x 16,50 см x 2,30 см",77.78,Иронический детектив,352,Отечественные,130000,165.00mm x 110.00mm x 22.00mm,
2650637,978-5-699-60419-7,Роллинс Джеймс ,,Э.Роллинс(м).Пещера,30,16+,2015,Эксмо,923714,Пещера,2,/files/1836/30/53/53/6.jpeg,"Под закованной в ледяной панцирь поверхностью Антарктиды обнаружен огромный подземный лабиринт. В одной из его пещер найдены остатки древнего поселения, возникшего около пяти миллионов лет назад, то есть еще до появления самых первых предков человека. Кто же жил здесь в те давние времена? Команда ученых-антропологов должна спуститься к центру Земли, чтобы разгадать эту загадку и заодно выяснить происхождение найденной в подземном поселке статуэтки, вырезанной из цельного алмаза. Но темные туннели, пещеры и подземные реки скрывают не только эту тайну. Ученые довольно быстро начинают понимать, что они не одни в этом таинственном лабиринте.",,мягкий,106,,"11,30 см x 16,50 см x 2,40 см",98.15,Весь Роллинс,640,Зарубежная,5000,165.00mm x 115.00mm x 25.00mm,
2650842,978-5-699-65949-4,Роллинс Джеймс ,,Э.Покет.Пещера,11,16+,2013,Эксмо,973822,Пещера,1,/files/1836/23/26/43/2.jpg,"Глубоко под закованной в ледяной панцирь поверхностью Антарктиды обнаружен огромный подземный лабиринт. В одной из его пещер найдены остатки древнего поселения, возникшего около пяти миллионов лет назад, то есть ещё до появления самых ранних предков человека. Кто же жил здесь в те давние времена? Команда учёных-антропологов должна спуститься к центру Земли, чтобы разгадать эту загадку и заодно выяснить происхождение найденной в подземном посёлке статуэтки, вырезанной из цельного алмаза. Но тёмные туннели, пещеры и подземные реки скрывают не только эту тайну. Учёные довольно быстро начинают понимать, что они не одни в этом таинственном лабиринте.",,мягкий,33,,"11,50 см x 18,00 см x 2,10 см",97.06,Pocket book,576,Зарубежная,5000,180.00mm x 115.00mm x 24.00mm,
2653320,978-5-699-65649-3,Емец Дмитрий Александрович,,"Э.ФКШ.Тайна ""Звезд.странника"".Сердце пирата",2,12+,2013,Эксмо,974864,"Тайна ""Звездного странника"" , Сердце пирата , Гладиатор забытых созвездий , Пират против всей Галактики : повести",0,/files/1836/23/27/46/9.jpg,,,твердый,3,,"21,50 см x 17,00 см x 2,80 см",66.67,Фантастическая коллекция для школьников,608,Для среднего школьного возраста,4000,215.00mm x 170.00mm x 27.00mm,
2655076,978-5-699-66241-8,Донцова Дарья Аркадьевна,,Э.ДиД.(м).Лягушка Баскервилей.Ромео с бол.дороги,34,16+,2014,Эксмо,976141,Лягушка Баскервилей. Ромео с большой дороги: романы,2,/files/1836/23/28/74/8.jpg,"Лягушка Баскервилей
Что можно подумать, встретив вдруг на улице Москвы, пусть и жарким летом, бегущую босую женщину? Первая мысль - она сумасшедшая. Вторая - не преступница ли? Последняя версия -
в яблочко! Однако есть одна маленькая оговорка: Розалия Майкова пока только подозреваемая. Правда, не в чем-нибудь, а в убийстве, и скрыться она умудрилась прямо во время допроса. А за ней по пятам, расследуя смерть мужа беглянки, идет любительница частного сыска Даша Васильева...
Ромео с большой дороги
Ничего себе дельце свалилось на голову Даши Васильевой
она должна найти... шубу. Правда, манто не простое - из розовой шиншиллы, стоимостью в особняк. Хоть и не хочется, а искать придется, иначе потерявшая его на веселой тусовке подруга навсегда поселится в Дашином доме. Даша начала поиски и нашла... труп. Но где же шиншилла? А тело между тем исчезло прямо из-под носа у любительницы частного сыска. Может, ей все привиделось? Нет, с головой у Даши все в порядке, а вот с этим делом что-то не так...",,мягкий,7,,"10,00 см x 16,50 см x 3,90 см",66.67,Двойной иронический детектив,672,Отечественные,10000,165.00mm x 110.00mm x 40.00mm,
2657319,978-5-699-60605-4,Донцова Дарья Аркадьевна,,Э.ИД.Фанатка голого короля,34,16+,2012,Эксмо,921215,Фанатка голого короля : роман,0,/files/1836/35/83/74.jpg,,,твердый,2,,"12,00 см x 19,70 см x 2,20 см",62.5,Иронический детектив,352,Отечественные,7100,200.00mm x 125.00mm x 25.00mm,
2662052,978-5-699-64843-6,Донцова Дарья Аркадьевна,,Э.ИД.Медовое путешествие втроем,1,16+,2013,Эксмо,978578,Медовое путешествие втроем: роман,3,/files/1836/23/29/81/4.jpg,"Погубит когда-нибудь Дашу Васильеву гостеприимство! На этот раз ее дом в Ложкине осчастливили своим присутствием родственники Дашиного избранника, профессора Маневина. И все бы ничего, если бы его дядя Игорь не вознамерился разводить... енотов-полоскунов! А пока эти милые зверушки плещутся в Да-шиной ванной, она преследует... привидение белокурой девочки! По словам психотерапевта, Васильева «заразилась» глюком от соседа, Юрия Малинина. Это ему являлся призрак дочери, несколько лет назад погибшей при пожаре, и в конце концов мужчина не выдержал — выбросился из окна. Вот только любительница частного сыска засомневалась, не помог ли ему в этом некий «доброжелатель». Похоже, кто-то постарался свести Юру с ума и довел до самоубийства, устроив представление с призраком!..",,твердый,16,,"13,00 см x 20,00 см x 2,00 см",84.21,Иронический детектив,352,Отечественные,35100,196.00mm x 122.00mm x 22.00mm,
2662054,978-5-699-66317-0,Донцова Дарья Аркадьевна,,Э.ИД(м).Фуа-гра из топора,3,16+,2013,Эксмо,978382,Фуа-гра из топора: роман,3,/files/1836/23/29/48/9.jpg,"Татьяна Сергеева выбилась в начальницы! Правда, подчиненные ей достались словно на подбор -с левой резьбой. Секретарша, например, превратила Танин кабинет в... столовую! И как в таком дурдоме разбираться со сложным делом? Ванда, домоправительница известного композитора Ксении Кауф, попросила расследовать гибель своей хозяйки. Та якобы покончила с собой, но Ванда кое-что разузнала и поняла: переселиться в мир иной Ксении явно помогли! Правда, вскоре выяснилось, что сделала это... сама Ванда! Да-да, она написала покаянное письмо, где призналась в убийстве, и сиганула с обрыва в реку... Вроде бы все разрешилось само собой, но Танюшу не так легко провести, даже этим
блестяще поставленным спектаклем!",,мягкий,11,,"10,50 см x 16,50 см x 1,50 см",78.57,Иронический детектив,352,Отечественные,120000,165.00mm x 110.00mm x 15.00mm,
