,vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,dolya,id_x,model_score_x,id_y,model_score_y
476,28794,Петрозаводск,Суши,205.0,4.0,3.0,0.018867924528301886,28794,0.0100864856503904,28794,0.0100864856503904
477,28801,Петрозаводск,Японская,87.0,1.0,1.0,0.011235955056179775,28801,0.34179510595277,28801,0.34179510595277
478,37687,Петрозаводск,Суши,20.0,1.0,1.0,0.045454545454545456,37687,0.29911368992179604,37687,0.29911368992179604
479,23480,Ростов-на-Дону,Бургеры,30.0,0.0,1.0,0.0,23480,0.653780615888536,23480,0.653780615888536
480,35196,Ростов-на-Дону,Бургеры,14.0,0.0,1.0,0.0,35196,0.469901429954916,35196,0.469901429954916
481,35827,Ростов-на-Дону,Пицца,155.0,0.0,1.0,0.0,35827,0.15332488482818,35827,0.15332488482818
482,16355,Ростов-на-Дону,Пицца,341.0,7.0,11.0,0.019498607242339833,16355,0.295033953152597,16355,0.295033953152597
483,36122,Ростов-на-Дону,Суши,485.0,4.0,3.0,0.008130081300813009,36122,0.558773526456207,36122,0.558773526456207
484,37865,Ростов-на-Дону,Суши,82.0,0.0,2.0,0.0,37865,0.8223161902278661,37865,0.8223161902278661
485,7531,Ростов-на-Дону,Пицца,226.0,2.0,4.0,0.008620689655172414,7531,0.336156543344259,7531,0.336156543344259
486,13697,Ростов-на-Дону,Китайская,8.0,5.0,2.0,0.3333333333333333,13697,0.458859043195844,13697,0.458859043195844
487,36926,Ростов-на-Дону,Бургеры,48.0,5.0,8.0,0.08196721311475409,36926,0.391692101955414,36926,0.391692101955414
488,33913,Ростов-на-Дону,Пицца,361.0,1.0,4.0,0.00273224043715847,33913,0.84338220115751,33913,0.84338220115751
489,36507,Ростов-на-Дону,Суши,59.0,0.0,0.0,0.0,36507,0.851090284064412,36507,0.851090284064412
490,20616,Ростов-на-Дону,Рыба,174.0,1.0,2.0,0.005649717514124294,20616,0.138110351283103,20616,0.138110351283103
491,37754,Ростов-на-Дону,Бургеры,14.0,0.0,0.0,0.0,37754,0.533257885370404,37754,0.533257885370404
492,31139,Ростов-на-Дону,Суши,250.0,4.0,1.0,0.01568627450980392,31139,0.6799613935872909,31139,0.6799613935872909
493,27396,Рязань,Суши,194.0,1.0,2.0,0.005076142131979695,27396,0.7184498663991691,27396,0.7184498663991691
494,25022,Рязань,Рыба,293.0,0.0,2.0,0.0,25022,0.161358678713441,25022,0.161358678713441
495,23862,Рязань,Пицца,422.0,4.0,4.0,0.009302325581395349,23862,0.582328365650028,23862,0.582328365650028
496,36346,Рязань,Суши,18.0,1.0,0.0,0.05263157894736842,36346,0.6283551552332939,36346,0.6283551552332939
497,35776,Рязань,Суши,195.0,2.0,3.0,0.01,35776,0.840437450446188,35776,0.840437450446188
498,25092,Рязань,Рыба,211.0,4.0,3.0,0.01834862385321101,25092,0.67402104428038,25092,0.67402104428038
499,23533,Рязань,Суши,635.0,4.0,4.0,0.006220839813374806,23533,0.916519408114254,23533,0.916519408114254
500,10225,Рязань,Суши,199.0,2.0,2.0,0.009852216748768473,10225,0.934809974394739,10225,0.934809974394739
501,35647,Рязань,Суши,259.0,4.0,1.0,0.015151515151515152,35647,0.315104127395898,35647,0.315104127395898
502,30112,Рязань,Пицца,146.0,9.0,8.0,0.05521472392638037,30112,0.0246213059872389,30112,0.0246213059872389
503,25031,Рязань,Рыба,168.0,0.0,1.0,0.0,25031,0.17845840891823198,25031,0.17845840891823198
504,37046,Рязань,Пицца,532.0,11.0,10.0,0.019891500904159132,37046,0.426442899741232,37046,0.426442899741232
505,31865,Рязань,Рыба,116.0,0.0,0.0,0.0,31865,0.956217198632658,31865,0.956217198632658
506,13435,Рязань,Пицца,670.0,15.0,5.0,0.021739130434782608,13435,0.0322933569550514,13435,0.0322933569550514
507,19487,Самара,Мясо,17.0,0.0,1.0,0.0,19487,0.9095110776834191,19487,0.9095110776834191
508,37741,Самара,Фастфуд,4.0,0.0,0.0,0.0,37741,0.662181577179581,37741,0.662181577179581
